None,region_id,region_type,region,zip,state,city,county,community
1221,98357,zip,95666; CA; Amador County; Pioneer,95666,CA,Amador County,Pioneer,
1222,98356,zip,95665; CA; Amador County; Pine Grove,95665,CA,Amador County,Pine Grove,
1223,98355,zip,95664; CA; Sacramento--Roseville--Arden-Arcade; El Dorado County; Pilot Hill,95664,CA,Sacramento--Roseville--Arden-Arcade,El Dorado County,Pilot Hill
1224,98354,zip,95663; CA; Sacramento--Roseville--Arden-Arcade; Placer County; Penryn,95663,CA,Sacramento--Roseville--Arden-Arcade,Placer County,Penryn
1228,98350,zip,95659; CA; Yuba City; Sutter County; Nicolaus,95659,CA,Yuba City,Sutter County,Nicolaus
1230,98349,zip,95658; CA; Sacramento--Roseville--Arden-Arcade; Placer County; Newcastle,95658,CA,Sacramento--Roseville--Arden-Arcade,Placer County,Newcastle
1231,98348,zip,95656; CA; Amador County; Plymouth,95656,CA,Amador County,Plymouth,
1232,98347,zip,95655; CA; Sacramento--Roseville--Arden-Arcade; Sacramento County; Mather,95655,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,Mather
1233,98345,zip,95653; CA; Sacramento--Roseville--Arden-Arcade; Yolo County; Esparto,95653,CA,Sacramento--Roseville--Arden-Arcade,Yolo County,Esparto
1234,98343,zip,95651; CA; Sacramento--Roseville--Arden-Arcade; El Dorado County; Lotus,95651,CA,Sacramento--Roseville--Arden-Arcade,El Dorado County,Lotus
1235,98342,zip,95650; CA; Sacramento--Roseville--Arden-Arcade; Placer County; Loomis,95650,CA,Sacramento--Roseville--Arden-Arcade,Placer County,Loomis
1236,98341,zip,95648; CA; Sacramento--Roseville--Arden-Arcade; Placer County; Lincoln,95648,CA,Sacramento--Roseville--Arden-Arcade,Placer County,Lincoln
1237,98340,zip,95646; CA; Alpine County; Kirkwood,95646,CA,Alpine County,Kirkwood,
1238,98339,zip,95645; CA; Sacramento--Roseville--Arden-Arcade; Yolo County; Woodland,95645,CA,Sacramento--Roseville--Arden-Arcade,Yolo County,Woodland
1239,98337,zip,95642; CA; Amador County; Jackson,95642,CA,Amador County,Jackson,
1240,98336,zip,95641; CA; Sacramento--Roseville--Arden-Arcade; Sacramento County; Isleton,95641,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,Isleton
1241,98335,zip,95640; CA; Amador County; Ione,95640,CA,Amador County,Ione,
1242,98334,zip,95639; CA; Sacramento--Roseville--Arden-Arcade; Yolo County; Clarksburg,95639,CA,Sacramento--Roseville--Arden-Arcade,Yolo County,Clarksburg
1243,98333,zip,95638; CA; Sacramento--Roseville--Arden-Arcade; Sacramento County; Herald,95638,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,Herald
1244,98332,zip,95637; CA; Sacramento--Roseville--Arden-Arcade; Yolo County; Guinda,95637,CA,Sacramento--Roseville--Arden-Arcade,Yolo County,Guinda
1245,98331,zip,95636; CA; Sacramento--Roseville--Arden-Arcade; El Dorado County; Somerset,95636,CA,Sacramento--Roseville--Arden-Arcade,El Dorado County,Somerset
1246,98330,zip,95635; CA; Sacramento--Roseville--Arden-Arcade; El Dorado County; Greenwood,95635,CA,Sacramento--Roseville--Arden-Arcade,El Dorado County,Greenwood
1247,98329,zip,95634; CA; Sacramento--Roseville--Arden-Arcade; El Dorado County; Georgetown,95634,CA,Sacramento--Roseville--Arden-Arcade,El Dorado County,Georgetown
1248,98328,zip,95633; CA; Sacramento--Roseville--Arden-Arcade; El Dorado County; Garden Valley,95633,CA,Sacramento--Roseville--Arden-Arcade,El Dorado County,Garden Valley
1249,98327,zip,95632; CA; Sacramento--Roseville--Arden-Arcade; Sacramento County; Galt,95632,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,Galt
1250,98326,zip,95631; CA; Sacramento--Roseville--Arden-Arcade; Placer County; Foresthill,95631,CA,Sacramento--Roseville--Arden-Arcade,Placer County,Foresthill
1252,98324,zip,95629; CA; Amador County; Volcano,95629,CA,Amador County,Volcano,
1254,98322,zip,95627; CA; Sacramento--Roseville--Arden-Arcade; Yolo County; Esparto,95627,CA,Sacramento--Roseville--Arden-Arcade,Yolo County,Esparto
1255,98321,zip,95626; CA; Sacramento--Roseville--Arden-Arcade; Sacramento County; Elverta,95626,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,Elverta
1256,98320,zip,95625; CA; Vallejo-Fairfield; Solano County; Vacaville,95625,CA,Vallejo-Fairfield,Solano County,Vacaville
1258,98318,zip,95623; CA; Sacramento--Roseville--Arden-Arcade; El Dorado County; El Dorado,95623,CA,Sacramento--Roseville--Arden-Arcade,El Dorado County,El Dorado
1260,98316,zip,95620; CA; Vallejo-Fairfield; Solano County; Dixon,95620,CA,Vallejo-Fairfield,Solano County,Dixon
1261,98315,zip,95619; CA; Sacramento--Roseville--Arden-Arcade; El Dorado County; Diamond Springs,95619,CA,Sacramento--Roseville--Arden-Arcade,El Dorado County,Diamond Springs
1262,98314,zip,95618; CA; Sacramento--Roseville--Arden-Arcade; Yolo County; Davis,95618,CA,Sacramento--Roseville--Arden-Arcade,Yolo County,Davis
1263,98312,zip,95616; CA; Sacramento--Roseville--Arden-Arcade; Yolo County; Davis,95616,CA,Sacramento--Roseville--Arden-Arcade,Yolo County,Davis
1264,98311,zip,95615; CA; Sacramento--Roseville--Arden-Arcade; Sacramento County; Courtland,95615,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,Courtland
1265,98310,zip,95614; CA; Sacramento--Roseville--Arden-Arcade; El Dorado County; Cool,95614,CA,Sacramento--Roseville--Arden-Arcade,El Dorado County,Cool
1267,98309,zip,95613; CA; Sacramento--Roseville--Arden-Arcade; El Dorado County; Garden Valley,95613,CA,Sacramento--Roseville--Arden-Arcade,El Dorado County,Garden Valley
1268,98308,zip,95612; CA; Sacramento--Roseville--Arden-Arcade; Yolo County; Clarksburg,95612,CA,Sacramento--Roseville--Arden-Arcade,Yolo County,Clarksburg
1271,98303,zip,95607; CA; Sacramento--Roseville--Arden-Arcade; Yolo County; Capay,95607,CA,Sacramento--Roseville--Arden-Arcade,Yolo County,Capay
1272,98302,zip,95606; CA; Sacramento--Roseville--Arden-Arcade; Yolo County; Brooks,95606,CA,Sacramento--Roseville--Arden-Arcade,Yolo County,Brooks
1275,98299,zip,95603; CA; Sacramento--Roseville--Arden-Arcade; Placer County; Auburn,95603,CA,Sacramento--Roseville--Arden-Arcade,Placer County,Auburn
1276,98298,zip,95602; CA; Sacramento--Roseville--Arden-Arcade; Placer County; Auburn,95602,CA,Sacramento--Roseville--Arden-Arcade,Placer County,Auburn
1277,98297,zip,95601; CA; Amador County; Amador City,95601,CA,Amador County,Amador City,
1278,98296,zip,95595; CA; Trinity County; Zenia,95595,CA,Trinity County,Zenia,
1279,98295,zip,95589; CA; Eureka-Arcata-Fortuna; Humboldt County; Whitethorn,95589,CA,Eureka-Arcata-Fortuna,Humboldt County,Whitethorn
1280,98293,zip,95585; CA; Ukiah; Mendocino County; Leggett,95585,CA,Ukiah,Mendocino County,Leggett
1281,98292,zip,95573; CA; Eureka-Arcata-Fortuna; Humboldt County; Willow Creek,95573,CA,Eureka-Arcata-Fortuna,Humboldt County,Willow Creek
1282,98291,zip,95571; CA; Eureka-Arcata-Fortuna; Humboldt County; Myers Flat,95571,CA,Eureka-Arcata-Fortuna,Humboldt County,Myers Flat
1283,98290,zip,95570; CA; Eureka-Arcata-Fortuna; Humboldt County; Trinidad,95570,CA,Eureka-Arcata-Fortuna,Humboldt County,Trinidad
1285,98289,zip,95569; CA; Eureka-Arcata-Fortuna; Humboldt County; Redcrest,95569,CA,Eureka-Arcata-Fortuna,Humboldt County,Redcrest
1286,98288,zip,95568; CA; Siskiyou County; Somes Bar,95568,CA,Siskiyou County,Somes Bar,
1287,98287,zip,95567; CA; Crescent City; Del Norte County; Smith River,95567,CA,Crescent City,Del Norte County,Smith River
1288,98286,zip,95565; CA; Eureka-Arcata-Fortuna; Humboldt County; Scotia,95565,CA,Eureka-Arcata-Fortuna,Humboldt County,Scotia
1289,98285,zip,95564; CA; Eureka-Arcata-Fortuna; Humboldt County; Samoa,95564,CA,Eureka-Arcata-Fortuna,Humboldt County,Samoa
1290,98284,zip,95563; CA; Trinity County; Salyer,95563,CA,Trinity County,Salyer,
1291,98283,zip,95562; CA; Eureka-Arcata-Fortuna; Humboldt County; Rio Dell,95562,CA,Eureka-Arcata-Fortuna,Humboldt County,Rio Dell
1292,98282,zip,95560; CA; Eureka-Arcata-Fortuna; Humboldt County; Redway,95560,CA,Eureka-Arcata-Fortuna,Humboldt County,Redway
1293,98281,zip,95559; CA; Eureka-Arcata-Fortuna; Humboldt County; Myers Flat,95559,CA,Eureka-Arcata-Fortuna,Humboldt County,Myers Flat
1294,98280,zip,95558; CA; Eureka-Arcata-Fortuna; Humboldt County; Ferndale,95558,CA,Eureka-Arcata-Fortuna,Humboldt County,Ferndale
1295,98279,zip,95556; CA; Eureka-Arcata-Fortuna; Humboldt County; Orleans,95556,CA,Eureka-Arcata-Fortuna,Humboldt County,Orleans
1296,98278,zip,95555; CA; Eureka-Arcata-Fortuna; Humboldt County; Orick,95555,CA,Eureka-Arcata-Fortuna,Humboldt County,Orick
1297,98277,zip,95554; CA; Eureka-Arcata-Fortuna; Humboldt County; Myers Flat,95554,CA,Eureka-Arcata-Fortuna,Humboldt County,Myers Flat
1298,98276,zip,95553; CA; Eureka-Arcata-Fortuna; Humboldt County; Myers Flat,95553,CA,Eureka-Arcata-Fortuna,Humboldt County,Myers Flat
1299,98275,zip,95552; CA; Trinity County; Mad River,95552,CA,Trinity County,Mad River,
1300,98274,zip,95551; CA; Eureka-Arcata-Fortuna; Humboldt County; Loleta,95551,CA,Eureka-Arcata-Fortuna,Humboldt County,Loleta
1301,98273,zip,95550; CA; Eureka-Arcata-Fortuna; Humboldt County; Korbel,95550,CA,Eureka-Arcata-Fortuna,Humboldt County,Korbel
1302,98272,zip,95549; CA; Eureka-Arcata-Fortuna; Humboldt County; Kneeland,95549,CA,Eureka-Arcata-Fortuna,Humboldt County,Kneeland
1303,98271,zip,95548; CA; Crescent City; Del Norte County; Klamath,95548,CA,Crescent City,Del Norte County,Klamath
1304,98270,zip,95547; CA; Eureka-Arcata-Fortuna; Humboldt County; Hydesville,95547,CA,Eureka-Arcata-Fortuna,Humboldt County,Hydesville
1306,98268,zip,95545; CA; Eureka-Arcata-Fortuna; Humboldt County; Garberville,95545,CA,Eureka-Arcata-Fortuna,Humboldt County,Garberville
1307,98267,zip,95543; CA; Crescent City; Del Norte County; Gasquet,95543,CA,Crescent City,Del Norte County,Gasquet
1308,98266,zip,95542; CA; Eureka-Arcata-Fortuna; Humboldt County; Garberville,95542,CA,Eureka-Arcata-Fortuna,Humboldt County,Garberville
1309,98265,zip,95540; CA; Eureka-Arcata-Fortuna; Humboldt County; Fortuna,95540,CA,Eureka-Arcata-Fortuna,Humboldt County,Fortuna
1310,98263,zip,95537; CA; Eureka-Arcata-Fortuna; Humboldt County; Fields Landing,95537,CA,Eureka-Arcata-Fortuna,Humboldt County,Fields Landing
1311,98262,zip,95536; CA; Eureka-Arcata-Fortuna; Humboldt County; Ferndale,95536,CA,Eureka-Arcata-Fortuna,Humboldt County,Ferndale
1313,98259,zip,95531; CA; Crescent City; Del Norte County,95531,CA,Crescent City,Del Norte County,
1314,98258,zip,95528; CA; Eureka-Arcata-Fortuna; Humboldt County; Carlotta,95528,CA,Eureka-Arcata-Fortuna,Humboldt County,Carlotta
1315,98257,zip,95527; CA; Trinity County; Burnt Ranch,95527,CA,Trinity County,Burnt Ranch,
1316,98256,zip,95526; CA; Eureka-Arcata-Fortuna; Humboldt County; Bridgeville,95526,CA,Eureka-Arcata-Fortuna,Humboldt County,Bridgeville
1317,98255,zip,95525; CA; Eureka-Arcata-Fortuna; Humboldt County; Blue Lake,95525,CA,Eureka-Arcata-Fortuna,Humboldt County,Blue Lake
1318,98254,zip,95524; CA; Eureka-Arcata-Fortuna; Humboldt County; Bayside,95524,CA,Eureka-Arcata-Fortuna,Humboldt County,Bayside
1319,98253,zip,95521; CA; Eureka-Arcata-Fortuna; Humboldt County; Arcata,95521,CA,Eureka-Arcata-Fortuna,Humboldt County,Arcata
1320,98252,zip,95519; CA; Eureka-Arcata-Fortuna; Humboldt County; McKinleyville,95519,CA,Eureka-Arcata-Fortuna,Humboldt County,McKinleyville
1321,98250,zip,95514; CA; Eureka-Arcata-Fortuna; Humboldt County; Blocksburg,95514,CA,Eureka-Arcata-Fortuna,Humboldt County,Blocksburg
1322,98249,zip,95511; CA; Eureka-Arcata-Fortuna; Humboldt County; Alderpoint,95511,CA,Eureka-Arcata-Fortuna,Humboldt County,Alderpoint
1323,98248,zip,95503; CA; Eureka-Arcata-Fortuna; Humboldt County; Eureka,95503,CA,Eureka-Arcata-Fortuna,Humboldt County,Eureka
1324,98246,zip,95501; CA; Eureka-Arcata-Fortuna; Humboldt County; Eureka,95501,CA,Eureka-Arcata-Fortuna,Humboldt County,Eureka
1325,98245,zip,95497; CA; Santa Rosa; Sonoma County; The Sea Ranch,95497,CA,Santa Rosa,Sonoma County,The Sea Ranch
1326,98244,zip,95494; CA; Ukiah; Mendocino County; Yorkville,95494,CA,Ukiah,Mendocino County,Yorkville
1327,98243,zip,95493; CA; Clearlake; Lake County; Upper Lake,95493,CA,Clearlake,Lake County,Upper Lake
1328,98242,zip,95492; CA; Santa Rosa; Sonoma County; Windsor,95492,CA,Santa Rosa,Sonoma County,Windsor
1329,98241,zip,95490; CA; Ukiah; Mendocino County; Willits,95490,CA,Ukiah,Mendocino County,Willits
1330,98240,zip,95488; CA; Ukiah; Mendocino County; Westport,95488,CA,Ukiah,Mendocino County,Westport
1332,98237,zip,95485; CA; Clearlake; Lake County; Upper Lake,95485,CA,Clearlake,Lake County,Upper Lake
1333,98236,zip,95482; CA; Ukiah; Mendocino County,95482,CA,Ukiah,Mendocino County,
1334,98235,zip,95481; CA; Ukiah; Mendocino County,95481,CA,Ukiah,Mendocino County,
1335,98233,zip,95476; CA; Santa Rosa; Sonoma County; Sonoma,95476,CA,Santa Rosa,Sonoma County,Sonoma
1336,98231,zip,95472; CA; Santa Rosa; Sonoma County; Sebastopol,95472,CA,Santa Rosa,Sonoma County,Sebastopol
1337,98230,zip,95471; CA; Santa Rosa; Sonoma County; Guerneville,95471,CA,Santa Rosa,Sonoma County,Guerneville
1338,98229,zip,95470; CA; Ukiah; Mendocino County; Redwood Valley,95470,CA,Ukiah,Mendocino County,Redwood Valley
1339,98228,zip,95469; CA; Ukiah; Mendocino County; Potter Valley,95469,CA,Ukiah,Mendocino County,Potter Valley
1340,98227,zip,95468; CA; Ukiah; Mendocino County; Point Arena,95468,CA,Ukiah,Mendocino County,Point Arena
1341,98226,zip,95467; CA; Clearlake; Lake County; Hidden Valley Lake,95467,CA,Clearlake,Lake County,Hidden Valley Lake
1342,98225,zip,95466; CA; Ukiah; Mendocino County; Philo,95466,CA,Ukiah,Mendocino County,Philo
1343,98224,zip,95465; CA; Santa Rosa; Sonoma County; Occidental,95465,CA,Santa Rosa,Sonoma County,Occidental
1344,98223,zip,95464; CA; Clearlake; Lake County; Nice,95464,CA,Clearlake,Lake County,Nice
1345,98222,zip,95463; CA; Ukiah; Mendocino County; Philo,95463,CA,Ukiah,Mendocino County,Philo
1346,98221,zip,95462; CA; Santa Rosa; Sonoma County; Monte Rio,95462,CA,Santa Rosa,Sonoma County,Monte Rio
1347,98220,zip,95461; CA; Clearlake; Lake County; Middletown,95461,CA,Clearlake,Lake County,Middletown
1348,98219,zip,95460; CA; Ukiah; Mendocino County; Mendocino,95460,CA,Ukiah,Mendocino County,Mendocino
1349,98218,zip,95459; CA; Ukiah; Mendocino County; Manchester,95459,CA,Ukiah,Mendocino County,Manchester
1350,98217,zip,95458; CA; Clearlake; Lake County; Lucerne,95458,CA,Clearlake,Lake County,Lucerne
1351,98216,zip,95457; CA; Clearlake; Lake County; Lower Lake,95457,CA,Clearlake,Lake County,Lower Lake
1352,98215,zip,95456; CA; Ukiah; Mendocino County; Mendocino,95456,CA,Ukiah,Mendocino County,Mendocino
1353,98214,zip,95454; CA; Ukiah; Mendocino County; Laytonville,95454,CA,Ukiah,Mendocino County,Laytonville
1354,98213,zip,95453; CA; Clearlake; Lake County; Lakeport,95453,CA,Clearlake,Lake County,Lakeport
1355,98212,zip,95452; CA; Santa Rosa; Sonoma County; Kenwood,95452,CA,Santa Rosa,Sonoma County,Kenwood
1356,98211,zip,95451; CA; Clearlake; Lake County; Kelseyville,95451,CA,Clearlake,Lake County,Kelseyville
1357,98210,zip,95450; CA; Santa Rosa; Sonoma County; Jenner,95450,CA,Santa Rosa,Sonoma County,Jenner
1359,98209,zip,95449; CA; Ukiah; Mendocino County; Hopland,95449,CA,Ukiah,Mendocino County,Hopland
1360,98208,zip,95448; CA; Santa Rosa; Sonoma County; Healdsburg,95448,CA,Santa Rosa,Sonoma County,Healdsburg
1361,98207,zip,95446; CA; Santa Rosa; Sonoma County; Guerneville,95446,CA,Santa Rosa,Sonoma County,Guerneville
1362,98206,zip,95445; CA; Ukiah; Mendocino County; Gualala,95445,CA,Ukiah,Mendocino County,Gualala
1363,98205,zip,95444; CA; Santa Rosa; Sonoma County; Graton,95444,CA,Santa Rosa,Sonoma County,Graton
1364,98204,zip,95443; CA; Clearlake; Lake County; Lucerne,95443,CA,Clearlake,Lake County,Lucerne
1365,98203,zip,95442; CA; Santa Rosa; Sonoma County; Glen Ellen,95442,CA,Santa Rosa,Sonoma County,Glen Ellen
1366,98202,zip,95441; CA; Santa Rosa; Sonoma County; Geyserville,95441,CA,Santa Rosa,Sonoma County,Geyserville
1367,98201,zip,95439; CA; Santa Rosa; Sonoma County; Fulton,95439,CA,Santa Rosa,Sonoma County,Fulton
1368,98200,zip,95437; CA; Ukiah; Mendocino County; Fort Bragg,95437,CA,Ukiah,Mendocino County,Fort Bragg
1370,98199,zip,95436; CA; Santa Rosa; Sonoma County; Forestville,95436,CA,Santa Rosa,Sonoma County,Forestville
1371,98198,zip,95435; CA; Clearlake; Lake County; Lakeport,95435,CA,Clearlake,Lake County,Lakeport
1372,98197,zip,95433; CA; Santa Rosa; Sonoma County; Sonoma,95433,CA,Santa Rosa,Sonoma County,Sonoma
1373,98196,zip,95432; CA; Ukiah; Mendocino County; Elk,95432,CA,Ukiah,Mendocino County,Elk
1374,98194,zip,95430; CA; Santa Rosa; Sonoma County; Duncans Mills,95430,CA,Santa Rosa,Sonoma County,Duncans Mills
1375,98192,zip,95428; CA; Ukiah; Mendocino County; Covelo,95428,CA,Ukiah,Mendocino County,Covelo
1376,98191,zip,95427; CA; Ukiah; Mendocino County; Comptche,95427,CA,Ukiah,Mendocino County,Comptche
1377,98190,zip,95426; CA; Clearlake; Lake County; Middletown,95426,CA,Clearlake,Lake County,Middletown
1378,98189,zip,95425; CA; Santa Rosa; Sonoma County; Cloverdale,95425,CA,Santa Rosa,Sonoma County,Cloverdale
1379,98188,zip,95424; CA; Clearlake; Lake County,95424,CA,Clearlake,Lake County,
1380,98187,zip,95423; CA; Clearlake; Lake County; Clearlake Oaks,95423,CA,Clearlake,Lake County,Clearlake Oaks
1381,98186,zip,95422; CA; Clearlake; Lake County,95422,CA,Clearlake,Lake County,
1382,98185,zip,95421; CA; Santa Rosa; Sonoma County; Cazadero,95421,CA,Santa Rosa,Sonoma County,Cazadero
1383,98184,zip,95420; CA; Ukiah; Mendocino County; Caspar,95420,CA,Ukiah,Mendocino County,Caspar
1384,98183,zip,95419; CA; Santa Rosa; Sonoma County; Occidental,95419,CA,Santa Rosa,Sonoma County,Occidental
1385,98181,zip,95417; CA; Ukiah; Mendocino County; Branscomb,95417,CA,Ukiah,Mendocino County,Branscomb
1386,98180,zip,95416; CA; Santa Rosa; Sonoma County; Sonoma,95416,CA,Santa Rosa,Sonoma County,Sonoma
1388,98179,zip,95415; CA; Ukiah; Mendocino County; Boonville,95415,CA,Ukiah,Mendocino County,Boonville
1389,98178,zip,95412; CA; Santa Rosa; Sonoma County; Annapolis,95412,CA,Santa Rosa,Sonoma County,Annapolis
1390,98177,zip,95410; CA; Ukiah; Mendocino County; Albion,95410,CA,Ukiah,Mendocino County,Albion
1391,98176,zip,95409; CA; Santa Rosa; Sonoma County,95409,CA,Santa Rosa,Sonoma County,
1392,98174,zip,95407; CA; Santa Rosa; Sonoma County,95407,CA,Santa Rosa,Sonoma County,
1393,98172,zip,95405; CA; Santa Rosa; Sonoma County,95405,CA,Santa Rosa,Sonoma County,
1394,98171,zip,95404; CA; Santa Rosa; Sonoma County,95404,CA,Santa Rosa,Sonoma County,
1395,98170,zip,95403; CA; Santa Rosa; Sonoma County,95403,CA,Santa Rosa,Sonoma County,
1397,98168,zip,95401; CA; Santa Rosa; Sonoma County,95401,CA,Santa Rosa,Sonoma County,
1399,98165,zip,95389; CA; Mariposa County; El Portal,95389,CA,Mariposa County,El Portal,
1400,98164,zip,95388; CA; Merced; Merced County; Winton,95388,CA,Merced,Merced County,Winton
1401,98163,zip,95387; CA; Modesto; Stanislaus County; Patterson,95387,CA,Modesto,Stanislaus County,Patterson
1402,98162,zip,95386; CA; Modesto; Stanislaus County; Waterford,95386,CA,Modesto,Stanislaus County,Waterford
1403,98161,zip,95385; CA; Modesto; Stanislaus County; Vernalis,95385,CA,Modesto,Stanislaus County,Vernalis
1404,98160,zip,95383; CA; Sonora; Tuolumne County; Twain Harte,95383,CA,Sonora,Tuolumne County,Twain Harte
1406,98159,zip,95382; CA; Modesto; Stanislaus County; Turlock,95382,CA,Modesto,Stanislaus County,Turlock
1407,98157,zip,95380; CA; Modesto; Stanislaus County; Turlock,95380,CA,Modesto,Stanislaus County,Turlock
1408,98156,zip,95379; CA; Sonora; Tuolumne County; Tuolumne,95379,CA,Sonora,Tuolumne County,Tuolumne
1411,98152,zip,95375; CA; Sonora; Tuolumne County; Strawberry,95375,CA,Sonora,Tuolumne County,Strawberry
1412,98151,zip,95374; CA; Merced; Merced County; Stevinson,95374,CA,Merced,Merced County,Stevinson
1413,98149,zip,95372; CA; Sonora; Tuolumne County; Soulsbyville,95372,CA,Sonora,Tuolumne County,Soulsbyville
1414,98148,zip,95370; CA; Sonora; Tuolumne County,95370,CA,Sonora,Tuolumne County,
1415,98147,zip,95369; CA; Merced; Merced County; Snelling,95369,CA,Merced,Merced County,Snelling
1416,98146,zip,95368; CA; Modesto; Stanislaus County; Salida,95368,CA,Modesto,Stanislaus County,Salida
1417,98145,zip,95367; CA; Modesto; Stanislaus County; Riverbank,95367,CA,Modesto,Stanislaus County,Riverbank
1418,98144,zip,95366; CA; Stockton-Lodi; San Joaquin County; Ripon,95366,CA,Stockton-Lodi,San Joaquin County,Ripon
1419,98143,zip,95365; CA; Merced; Merced County; Planada,95365,CA,Merced,Merced County,Planada
1420,98142,zip,95364; CA; Sonora; Tuolumne County; Pinecrest,95364,CA,Sonora,Tuolumne County,Pinecrest
1421,98141,zip,95363; CA; Modesto; Stanislaus County; Patterson,95363,CA,Modesto,Stanislaus County,Patterson
1422,98140,zip,95361; CA; Modesto; Stanislaus County; Oakdale,95361,CA,Modesto,Stanislaus County,Oakdale
1424,98139,zip,95360; CA; Modesto; Stanislaus County; Newman,95360,CA,Modesto,Stanislaus County,Newman
1425,98138,zip,95358; CA; Modesto; Stanislaus County,95358,CA,Modesto,Stanislaus County,
1426,98137,zip,95357; CA; Modesto; Stanislaus County,95357,CA,Modesto,Stanislaus County,
1427,98136,zip,95356; CA; Modesto; Stanislaus County,95356,CA,Modesto,Stanislaus County,
1428,98135,zip,95355; CA; Modesto; Stanislaus County,95355,CA,Modesto,Stanislaus County,
1429,98134,zip,95354; CA; Modesto; Stanislaus County,95354,CA,Modesto,Stanislaus County,
1430,98131,zip,95351; CA; Modesto; Stanislaus County,95351,CA,Modesto,Stanislaus County,
1431,98130,zip,95350; CA; Modesto; Stanislaus County,95350,CA,Modesto,Stanislaus County,
1433,98129,zip,95348; CA; Merced; Merced County,95348,CA,Merced,Merced County,
1434,98128,zip,95347; CA; Mariposa County; Coulterville,95347,CA,Mariposa County,Coulterville,
1435,98127,zip,95346; CA; Sonora; Tuolumne County; Mi Wuk Village,95346,CA,Sonora,Tuolumne County,Mi Wuk Village
1436,98126,zip,95345; CA; Mariposa County; Midpines,95345,CA,Mariposa County,Midpines,
1437,98122,zip,95341; CA; Merced; Merced County,95341,CA,Merced,Merced County,
1438,98121,zip,95340; CA; Merced; Merced County,95340,CA,Merced,Merced County,
1439,98120,zip,95338; CA; Mariposa County; Mariposa,95338,CA,Mariposa County,Mariposa,
1443,98117,zip,95335; CA; Sonora; Tuolumne County; Long Barn,95335,CA,Sonora,Tuolumne County,Long Barn
1444,98116,zip,95334; CA; Merced; Merced County; Livingston,95334,CA,Merced,Merced County,Livingston
1445,98115,zip,95333; CA; Merced; Merced County; Le Grand,95333,CA,Merced,Merced County,Le Grand
1446,98114,zip,95330; CA; Stockton-Lodi; San Joaquin County; Lathrop,95330,CA,Stockton-Lodi,San Joaquin County,Lathrop
1447,98113,zip,95329; CA; Mariposa County; La Grange,95329,CA,Mariposa County,La Grange,
1448,98112,zip,95328; CA; Modesto; Stanislaus County; Keyes,95328,CA,Modesto,Stanislaus County,Keyes
1449,98111,zip,95327; CA; Sonora; Tuolumne County; Jamestown,95327,CA,Sonora,Tuolumne County,Jamestown
1450,98110,zip,95326; CA; Modesto; Stanislaus County; Hughson,95326,CA,Modesto,Stanislaus County,Hughson
1452,98109,zip,95325; CA; Mariposa County; Hornitos,95325,CA,Mariposa County,Hornitos,
1453,98108,zip,95324; CA; Merced; Merced County; Hilmar,95324,CA,Merced,Merced County,Hilmar
1454,98107,zip,95323; CA; Modesto; Stanislaus County; Hickman,95323,CA,Modesto,Stanislaus County,Hickman
1455,98106,zip,95322; CA; Merced; Merced County; Gustine,95322,CA,Merced,Merced County,Gustine
1456,98105,zip,95321; CA; Sonora; Tuolumne County; Groveland,95321,CA,Sonora,Tuolumne County,Groveland
1457,98104,zip,95320; CA; Stockton-Lodi; San Joaquin County; Escalon,95320,CA,Stockton-Lodi,San Joaquin County,Escalon
1458,98103,zip,95319; CA; Modesto; Stanislaus County,95319,CA,Modesto,Stanislaus County,
1459,98102,zip,95318; CA; Mariposa County; El Portal,95318,CA,Mariposa County,El Portal,
1460,98101,zip,95317; CA; Merced; Merced County; El Nido,95317,CA,Merced,Merced County,El Nido
1461,98100,zip,95316; CA; Modesto; Stanislaus County; Denair,95316,CA,Modesto,Stanislaus County,Denair
1464,98099,zip,95315; CA; Merced; Merced County; Delhi,95315,CA,Merced,Merced County,Delhi
1465,98097,zip,95313; CA; Modesto; Stanislaus County; Crows Landing,95313,CA,Modesto,Stanislaus County,Crows Landing
1466,98096,zip,95312; CA; Merced; Merced County; Winton,95312,CA,Merced,Merced County,Winton
1467,98095,zip,95311; CA; Mariposa County; Coulterville,95311,CA,Mariposa County,Coulterville,
1468,98094,zip,95310; CA; Sonora; Tuolumne County; Columbia,95310,CA,Sonora,Tuolumne County,Columbia
1469,98093,zip,95309; CA; Sonora; Tuolumne County; Jamestown,95309,CA,Sonora,Tuolumne County,Jamestown
1470,98092,zip,95307; CA; Modesto; Stanislaus County; Ceres,95307,CA,Modesto,Stanislaus County,Ceres
1471,98091,zip,95306; CA; Mariposa County; Catheys Valley,95306,CA,Mariposa County,Catheys Valley,
1472,98090,zip,95305; CA; Sonora; Tuolumne County; Big Oak Flat,95305,CA,Sonora,Tuolumne County,Big Oak Flat
1473,98089,zip,95304; CA; Stockton-Lodi; San Joaquin County; Tracy,95304,CA,Stockton-Lodi,San Joaquin County,Tracy
1474,98088,zip,95303; CA; Merced; Merced County; Ballico,95303,CA,Merced,Merced County,Ballico
